name,query,question 
Outside Temp/Dew Point,"SELECT ""temperatureItem0"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 301 AND time > :dashboardTime: AND time < :upperDashboardTime:","What was the outside temperature and dew point at the LSST site between [dashboardTime] and [upperDashboardTime], specifically for the ESS temperature item 0 with a SAL index of 301?"
Outside Temp/Dew Point,"SELECT ""dewPointItem"" FROM ""efd"".""autogen"".""lsst.sal.ESS.dewPoint"" WHERE salIndex = 301 AND time > :dashboardTime: AND time < :upperDashboardTime:","What was the dew point temperature for the LSST Environment System (ESS) with a SAL index of 301, measured outside, during the specified time range?"
MTDome-ESS01 - ESSID 111 - M1M3 air temp/humidity - RPi Sticker 3,"SELECT ""temperatureItem0"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 111 and time > :dashboardTime: AND time < :upperDashboardTime: ","What was the temperature data collected by the MTDome-ESS01 - ESSID 111 - M1M3 air temp/humidity sensor, specifically the ""temperatureItem0"" readings, within the specified dashboard time range?"
MTDome-ESS01 - ESSID 111 - M1M3 air temp/humidity - RPi Sticker 3,"SELECT ""relativeHumidityItem"" FROM ""efd"".""autogen"".""lsst.sal.ESS.relativeHumidity"" WHERE salIndex = 111 and time > :dashboardTime: AND time < :upperDashboardTime:
","What is the relative humidity data for ESSID 111, M1M3 air temp/humidity, from the LSST SAL ESS database, within the current month-to-date (MTD) time range?"
MTDome-ESS01 - ESSID 111 - M1M3 air temp/humidity - RPi Sticker 3,"SELECT ""dewPointItem"" FROM ""efd"".""autogen"".""lsst.sal.ESS.dewPoint"" WHERE salIndex = 111 and time > :dashboardTime: AND time < :upperDashboardTime:
","What is the dew point temperature and humidity data for ESSID 111, M1M3 air temp/humidity, RPi Sticker 3, within the specified dashboard time range?"
MTDome-ESS02 - ESSID 112 - M2 air temp/humidity - RPi Sticker 1,"SELECT ""temperatureItem0"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 112 and time > :dashboardTime: AND time < :upperDashboardTime: ","What is the temperature data for ESSID 112 from the M2 air temp/humidity sensor (RPi Sticker 1) on the LSST telescope's Essential Safety System (ESS), specifically during the current month to date?"
MTDome-ESS02 - ESSID 112 - M2 air temp/humidity - RPi Sticker 1,"SELECT relativeHumidityItem FROM ""efd"".""autogen"".""lsst.sal.ESS.relativeHumidity"" WHERE salIndex = 112 and time > :dashboardTime: AND time < :upperDashboardTime: ",What was the relative humidity measured by the M2 air temperature and humidity sensor (RPi Sticker 1) at the ESS ID 112 for the current month?
MTDome-ESS02 - ESSID 112 - M2 air temp/humidity - RPi Sticker 1,"SELECT dewPointItem FROM ""efd"".""autogen"".""lsst.sal.ESS.dewPoint"" WHERE salIndex = 112 and time > :dashboardTime: AND time < :upperDashboardTime: ","What is the dew point temperature for ESSID 112, M2 air temperature/humidity sensor, RPi Sticker 1 from the LSST SAL ESS database within the specified dashboard time range?"
MTDome Humidity - ESSID 113 - camera air temp/humidity/baro - RPi w/ Sticker 4,"SELECT ""temperatureItem0"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 113 and time > :dashboardTime: AND time < :upperDashboardTime: ","What was the temperature measured by the camera air temperature/humidity/barometer sensor with ESSID 113, connected to the Raspberry Pi with Sticker 4, for the current month to date?"
MTDome Humidity - ESSID 113 - camera air temp/humidity/baro - RPi w/ Sticker 4,"SELECT relativeHumidityItem FROM ""efd"".""autogen"".""lsst.sal.ESS.relativeHumidity"" WHERE salIndex = 113 and time > :dashboardTime: AND time < :upperDashboardTime: ","What was the relative humidity measured by the MTDome Humidity sensor with ESSID 113, specifically from the camera air temperature, humidity, and barometer readings collected by the Raspberry Pi with Sticker 4, during the current month?"
MTDome Humidity - ESSID 113 - camera air temp/humidity/baro - RPi w/ Sticker 4,"SELECT dewPointItem FROM ""efd"".""autogen"".""lsst.sal.ESS.dewPoint"" WHERE salIndex = 113 and time > :dashboardTime: AND time < :upperDashboardTime: ","What was the dew point temperature for ESSID 113, measured by the camera air temperature, humidity and barometer Raspberry Pi with Sticker 4, during the current month to date?"
MTDome-ESS03 - ESSID 113 Air Pressure,"SELECT ""pressureItem0"" / 100 as ""barometricPressure [mbar]"" FROM ""efd"".""autogen"".""lsst.sal.ESS.pressure"" WHERE salIndex = 113 and time > :dashboardTime: AND time < :upperDashboardTime: and ""pressureItem0"" / 100 > 710
","What was the barometric pressure in millibars for ESSID 113 over the last month, considering only the values greater than 710 mbar?"
ForceActuator primary cylinder following error,"SELECT ""primaryCylinderFollowingError:z_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the primary cylinder following error of the force actuator for LSST MTM1M3 within the specified time range?
ForceActuator primary cylinder force,"SELECT ""primaryCylinderForce:z_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the force of the primary cylinder in the LSST SAL MTM1M3 Force Actuator Data for the period between the dashboard time and the upper dashboard time?
ForceActuator secondary cylinder force,"SELECT ""secondaryCylinderForce:s_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the force applied to the secondary cylinder of the Force Actuator for LSST's MTM1M3 within the specified time range?
yForces,"SELECT ""yForce:y_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","To generate the given database query, a possible natural language question could be:

""What are the y-axis forces applied by each actuator on the LSST Mirror Transporter M1M3 (MTM1M3) within the specified time range?""

Key points that lead to the specific query:
- The question is asking about forces along the y-axis.
- It specifies that these forces are applied by actuators, which implies a system with multiple force-generating components.
- The forces are specifically for the M1M3 mirror transporter of the LSST (Legacy Survey of Space and Time) project.
- The data should be retrieved from a certain time range, defined by ""dashboardTime"" and ""upperDashboardTime"".

The database table appears to be named ""forceActuatorData"", suggesting it stores force measurements from actuators. The query filters for records within the specified time range, extracting the y-axis forces (""yForce"") and their corresponding actuator index ("":y_index:"")."
yForces,"SELECT ""yForces:y_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.appliedForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the y-direction forces applied to the MTM1M3 mirror between the specified dashboard start time and end time?
zForces,"SELECT ""zForce:z_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the z-force actuator values for the LSST MTM1M3 telescope between the current dashboard time and 1 hour in the future?
zForces,"SELECT ""zForces:z_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.appliedForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the applied forces on the LSST primary mirror (MTM1) and tertiary mirror (M3) between the current dashboard time and one minute in the future?
ForceActuator secondary cylinder following error,"SELECT ""secondaryCylinderFollowingError:s_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What is the secondary cylinder following error for the LSST SAL MTM1M3 force actuator data within the specified dashboard time range?
xForces,"SELECT ""xForce:x_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.forceActuatorData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the x-force values for the LSST SAL MTM1M3 force actuator data within the specified dashboard timeframe?
xForces,"SELECT ""xForces:x_index:"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.appliedForces"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the x-axis forces applied to the LSST MTM1M3 telescope structure between the dashboard's specified start and end times?
ID20 (LUT + hardpointCorrection - measured),"SELECT (""lutGravity20"" + ""lutTemperature20"" + ""hardpointCorrection20"" - ""measured20"") FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForce"" WHERE time >= ':test_start:' AND time <= ':test_end:'","What is the difference between the sum of LUT gravity, LUT temperature, and hardpoint correction, and the measured value for ID20 axial force during the specified test period?"
ID20 (LUT + hardpointCorrection - measured),"SELECT (""lutGravity21"" + ""lutTemperature21"" + ""hardpointCorrection21"" - ""measured21"") FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForce"" WHERE time >= ':test_start:' AND time <= ':test_end:'","To generate the given dashboard cell and database query, a possible natural language question could be:

What is the difference between the predicted axial force (LUT gravity + LUT temperature + hardpoint correction) and the measured axial force on MTM2 for the time period from :test_start: to :test_end:?"
ID20 (LUT + hardpointCorrection - measured),"SELECT (""lutGravity2"" + ""lutTemperature2"" + ""hardpointCorrection2"" - ""measured2"") FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForce"" WHERE time >= ':test_start:' AND time <= ':test_end:'","To generate the given database query, a possible natural language question could be:

What is the difference between the sum of LUT gravity, LUT temperature, and hardpoint correction, and the measured axial force for the MTM2 system during the test period?"
Tangent Actuator 6 (ID 300deg) ,"SELECT mean(""tangentLink240DegForceMeasured"") AS ""mean_tangentLink240DegForceMeasured"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What is the mean force measured by the tangent link at 240 degrees for the LSST SAL MTM2 tangent forces during the test period, grouped in 1-second intervals?"
Axial actuator D10 (64),"SELECT mean(""axialForceMeasured64"") AS ""mean_axialForceMeasured64"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What is the mean axial force measured by actuator D10 (64) for the LSST SAL MTM2 system during the specified test period, with the data grouped into 1-second intervals?"
Axial actuator D1 (55),"SELECT mean(""axialForceMeasured55"") AS ""mean_axialForceMeasured55"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What is the average axial force measured by actuator D1 (55) for the LSST SAL MTM2 system during the specified test period, grouped into 1-second intervals?"
Tangent Actuators,"SELECT mean(""tangentLink0DegForceMeasured"") AS ""mean_tangentLink0DegForceMeasured"", mean(""tangentLink120DegForceMeasured"") AS ""mean_tangentLink120DegForceMeasured"", mean(""tangentLink180DegForceMeasured"") AS ""mean_tangentLink180DegForceMeasured"", mean(""tangentLink240DegForceMeasured"") AS ""mean_tangentLink240DegForceMeasured"", mean(""tangentLink300DegForceMeasured"") AS ""mean_tangentLink300DegForceMeasured"", mean(""tangentLink60DegForceMeasured"") AS ""mean_tangentLink60DegForceMeasured"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What were the average forces measured at each of the tangent actuator positions (0°, 60°, 120°, 180°, 240°, and 300°) during the specified time range for the LSST SAL MTM2 tangent forces measurement?"
Tangent Actuator 3 (ID 120deg) ,"SELECT mean(""tangentLink120DegForceMeasured"") AS ""mean_tangentLink120DegForceMeasured"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What is the average force measured by the Tangent Actuator 3 (ID 120deg) sensor on the LSST SAL MTM2 tangentForcesMeasured table, grouped into 1-second intervals, for the time range between ':test_start:' and ':test_end:'?"
Tangent Actuator 4 (ID 180deg) ,"SELECT mean(""tangentLink180DegForceMeasured"") AS ""mean_tangentLink180DegForceMeasured"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)",What is the mean force measured by the Tangent Actuator 4 (ID 180deg) over one-second intervals during the specified test period?
Tangent Actuator 5 (ID 240deg) ,"SELECT mean(""tangentLink240DegForceMeasured"") AS ""mean_tangentLink240DegForceMeasured"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)",What is the mean force measured for the Tangent Actuator 5 (ID 240deg) over the course of the test period?
Tangent Actuator 2 (ID 60deg),"SELECT mean(""tangentLink60DegForceMeasured"") AS ""mean_tangentLink60DegForceMeasured"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)",What is the mean measured force of the Tangent Actuator 2 (ID 60deg) over 1-second intervals during the test period?
Axial actuator C6 (ID 36),"SELECT mean(""axialForceMeasured36"") AS ""mean_axialForceMeasured36"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)",What is the average axial force measured by actuator C6 (ID 36) for each second during the specified test period?
Actuator B15 (ID 14) ,"SELECT mean(""axialForceMeasured14"") AS ""mean_axialForceMeasured14"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What is the average axial force measured by Actuator B15 (ID 14) during the specified test period, aggregated at 1-second intervals?

This question captures the essence of the dashboard cell name, focuses on the ""axialForceMeasured14"" metric, and incorporates the time range condition using placeholders for the start and end times. The grouping by 1-second intervals is also reflected in the query."
Axial actuator C18 (48),"SELECT mean(""axialForceMeasured48"") AS ""mean_axialForceMeasured48"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What is the average axial force measured by the C18 actuator (sensor 48) on the LSST MTM2 telescope mount during the specified test period, with the data grouped and averaged over one-second intervals?"
Tangent Actuator 1 (ID 0deg),"SELECT mean(""tangentLink0DegForceMeasured"") AS ""mean_tangentLink0DegForceMeasured"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)",What is the average force measured on the tangent link at 0 degrees position during a specific test period for the LSST SAL MTM2 system?
Actuator B2 (ID 1),"SELECT mean(""axialForceMeasured1"") AS ""mean_axialForceMeasured1"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.axialForcesMeasured"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)",What is the average axial force measured by Actuator B2 (ID 1) on the LSST.MTM2 telescope over one-second intervals during the test period?
Tangent force steps,"SELECT mean(""tangentLink0DegAbsolutePositionSteps"") AS ""mean_tangentLink0DegAbsolutePositionSteps"", mean(""tangentLink120DegAbsolutePositionSteps"") AS ""mean_tangentLink120DegAbsolutePositionSteps"", mean(""tangentLink180DegAbsolutePositionSteps"") AS ""mean_tangentLink180DegAbsolutePositionSteps"", mean(""tangentLink240DegAbsolutePositionSteps"") AS ""mean_tangentLink240DegAbsolutePositionSteps"", mean(""tangentLink300DegAbsolutePositionSteps"") AS ""mean_tangentLink300DegAbsolutePositionSteps"", mean(""tangentLink60DegAbsolutePositionSteps"") AS ""mean_tangentLink60DegAbsolutePositionSteps"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.tangentActuatorAbsolutePositionSteps"" WHERE time >= ':test_start:' AND time <= ':test_end:' GROUP BY time(1s)","What are the mean values of the tangent link absolute position steps for each 60-degree increment (0, 60, 120, 180, 240, and 300 degrees) during the specified time range?"
ESS:112 (m2- Not available yet),"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 112 ORDER BY time DESC LIMIT 1",What is the current summary state of ESS subsystem event with ID 112?
ESS:113 (m1m3),"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 113 ORDER BY time DESC LIMIT 1",What is the current summary state of the ESS subsystem with salIndex 113?
ESS:111 (camera),"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 111 ORDER BY time DESC LIMIT 1",What is the current summary state of the ESS subsystem with ID 111?
ESS:109,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 109 ORDER BY time DESC LIMIT 1",What is the most recent summary state for the LSST SAL ESS log event with index 109?
ESS:202,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 202 ORDER BY time DESC LIMIT 1",What is the current summary state of the EFD log event with SAL index 202?
WeatherForecast,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.WeatherForecast.logevent_summaryState"" ORDER BY time DESC LIMIT 1",What is the most recent weather forecast summary state recorded in the LSST database?
HVAC,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.logevent_summaryState"" ORDER BY time DESC LIMIT 1","What is the current state of the HVAC system, and when was it last updated?"
ESS:103,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 103 ORDER BY time DESC LIMIT 1",What is the current summary state of the LSST SAL ESS log event with index 103?
ESS:201,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 201 ORDER BY time DESC LIMIT 1","What is the current state of the ESS subsystem, specifically for the log event with a SAL index of 201?"
ESS:102 -> ESS:112,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 102 ORDER BY time DESC LIMIT 1",What is the most recent summary state for the ESS subsystem with a salIndex of 102?
ESS:101 -> ESS:111,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 101 ORDER BY time DESC LIMIT 1",What is the current summary state of the ESS subsystem with SAL index 101?
DSM:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.DSM.logevent_summaryState"" WHERE ""salIndex"" = 1 ORDER BY DESC LIMIT 1","What is the most recent summary state for salIndex 1 in the ""lsst.sal.DSM.logevent_summaryState"" table?"
DIMM:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.DIMM.logevent_summaryState"" WHERE ""salIndex"" = 1 ORDER BY DESC LIMIT 1",What is the latest summary state of the DIMM with SAL index 1?
DSM:2,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.DSM.logevent_summaryState"" WHERE ""salIndex"" = 2 ORDER BY DESC LIMIT 1",What is the most recent summary state for the subsystem with ID 2 in the LSST SAL DSM log event table?
DIMM:2,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.DIMM.logevent_summaryState"" WHERE ""salIndex"" = 2 ORDER BY DESC LIMIT 1",What is the latest summary state for the DIMM with a SAL index of 2?
ESS:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 1 ORDER BY time DESC LIMIT 1",What is the current summary state of the LSST SAL EFD subsystem with index 1?
ESS:301,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ESS.logevent_summaryState"" WHERE salIndex = 301 ORDER BY time DESC LIMIT 1",What is the current summary state of the LSST SAL ESS log event with a salIndex value of 301?
CCW current values,"SELECT current0, current1 FROM ""efd"".""autogen"".""lsst.sal.MTMount.cameraCableWrap"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the current values of the LSST camera cable wrap (CCW) for the two cameras at the current time?
"CCW actual Position, Velocity, Acceleration","SELECT ""actualPosition"", ""actualAcceleration"", ""actualVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.cameraCableWrap"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What were the actual position, velocity, and acceleration of the LSST camera cable wrap at times between :dashboardTime: and :upperDashboardTime:?"
Position 1,"SELECT ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.cameraCableWrap"" WHERE time > :dashboardTime:",What is the actual position of the camera cable wrap on the LSST telescope's mount at a specific time after the dashboard time?
Position 1,"SELECT ""actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTRotator.rotation"" WHERE time > :dashboardTime: ",What was the actual position of the MTRotator rotation at a specific time after the dashboard time?
Untitled Graph,"SELECT ""code"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_error"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the error codes reported by the LSST SAL MTMount logevent for events occurring between the current dashboard time and the upper dashboard time?
Untitled Graph,"SELECT ""text"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_error"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the error events logged by the LSST SAL MTMount component between the current dashboard time and one hour ago?
Untitled Graph,"SELECT ""limits"", ""private_efdStamp"", ""private_identity"", ""private_kafkaStamp"", ""private_rcvStamp"", ""private_sndStamp"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.logevent_cameraCableWrapLimits"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What were the values of limits, private_efdStamp, private_identity, private_kafkaStamp, private_rcvStamp, and private_sndStamp from the efd.autogen.lsst.sal.MTMount.logevent_cameraCableWrapLimits table for events that occurred between a specific dashboard time and an upper dashboard time?"
Z Angular Acceleration (deg/s2) ,"SELECT mean(""angularAccelerationZ"") AS ""mean_angularAccelerationZ"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.accelerometerData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean angular acceleration in the Z direction of the LSST SAL MTM1M3 accelerometer data over the last 24 hours, grouped by 15-minute intervals and filling any null values?"
Y Angular Acceleration (deg/s2) ,"SELECT mean(""angularAccelerationY"") AS ""mean_angularAccelerationY"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.accelerometerData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean angular acceleration in the Y direction (in degrees per second squared) of the LSST SAL MTM1M3 accelerometer data over the specified time range, grouped by the given interval?"
Mount Azimuth,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean actual position of the Mount Azimuth over time intervals, starting from a given dashboard time until an upper limit, based on the data from the ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" table?"
Mount Elevation,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the average actual elevation position of the LSST Mount over intervals of time between the specified dashboard start and end times, filling in any missing data points with null values?"
X Angular Acceleration (deg/s2) ,"SELECT mean(""angularAccelerationX"") AS ""mean_angularAccelerationX"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.accelerometerData"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)","What is the mean angular acceleration in the X direction of the LSST SAL MTM1M3 accelerometer data over the specified time interval, filling any gaps with null values?"
Rotator Status,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Rotator.logevent_summaryState"" WHERE time >= :test_start: AND time <= :test_end:",What is the status of the Rotator during the specified time range from :test_start: to :test_end:?
CCW Status,"SELECT ""CCW_Status"" AS ""CCW_Status"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.Camera_Cable_Wrap"" WHERE time >= :test_start: AND time <= :test_end:",What is the status of the camera cable wrap on the LSST primary mirror mount between the specified test start and end times?
CCW Rotator Position(CCW),"SELECT mean(""CCW_Angle_1""), mean(""CCW_Angle_2"") FROM ""efd"".""autogen"".""lsst.sal.MTMount.Camera_Cable_Wrap"" WHERE time >= :test_start: AND time <= :test_end: GROUP BY time(1s)","What were the average values of CCW_Angle_1 and CCW_Angle_2 for the LSST camera cable wrap rotator position during the specified test period, grouped by 1-second intervals?"
Rotator Position and Demand,"SELECT mean(""Demand""), mean(""Position"") FROM ""efd"".""autogen"".""lsst.sal.Rotator.Application"" WHERE time >= :test_start: AND time <= :test_end: GROUP BY time(1s)","To generate the provided database query, a possible natural language question could be:

What is the average demand and position of the LSST SAL Rotator application over 1-second intervals within the specified test start and end times?

This question asks for the mean values of two fields (Demand and Position) from the ""lsst.sal.Rotator.Application"" measurement in the ""efd"".""autogen"" database. It specifies that the data should be grouped by 1-second time intervals and filtered to only include data points between a given start time (:test_start:) and end time (:test_end:)."
Pointing Model,"SELECT mean(""angle"") FROM ""efd"".""autogen"".""lsst.sal.Rotator.command_track"" WHERE time >= :test_start: AND time <= :test_end: GROUP BY time(1s)",What is the average angle of the pointing model over one-second intervals during the specified test period?
TEST END,"SELECT ""message"" FROM ""efd"".""autogen"".""lsst.sal.Script.logevent_logMessage"" WHERE message =~ /END/ order by desc","What is the most recent log event where the message contains the word ""END"" in the LSST SAL Script log?"
TEST START,"SELECT ""message"" FROM ""efd"".""autogen"".""lsst.sal.Script.logevent_logMessage"" WHERE message =~ /START/ order by desc","What are the most recent messages in the ""lsst.sal.Script.logevent_logMessage"" table that contain the word ""START""?"
Watcher History,"SELECT ""reason"" AS ""reason"" FROM ""efd"".""autogen"".""lsst.sal.Watcher.logevent_alarm"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What were the reasons for the alarms triggered by the Watcher system within the specified time range?
Watcher History,"SELECT ""severity"" AS ""severity"" FROM ""efd"".""autogen"".""lsst.sal.Watcher.logevent_alarm"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the severity levels of the Watcher log events that occurred between :dashboardTime: and :upperDashboardTime:?
Watcher History,"SELECT ""name"" AS ""name"" FROM ""efd"".""autogen"".""lsst.sal.Watcher.logevent_alarm"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","Here is a natural language question that could lead to the given database query:

What are the names of the Watcher log events with alarms that occurred between the specified dashboard start and end times?"
ATMCS-Tracking,"SELECT ""state"" FROM ""efd"".""autogen"".""lsst.sal.ATMCS.logevent_atMountState"" ORDER BY DESC LIMIT 1",What is the most recent state of the AT Mount Control System (ATMCS) as logged in the LSST SAL database?
GenericCamera:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.GenericCamera.logevent_summaryState"" WHERE ""salIndex"" = 1 ORDER BY DESC LIMIT 1",What is the latest summary state for the Generic Camera with SAL index 1?
ATAOS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state reported by the AT Event and Observation System (ATAOS)?
ATHexapod,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the LSST SAL ATHexapod log event?
ATDome,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the ATDome system?
ATPtg,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATPtg.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the AT Ptg system?
ATDomeTrajectory,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATDomeTrajectory.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the AT Dome Trajectory?
